dis_name,location,trail,spirit_class,address,latitude,longitude,phone,email,website,social_link,found_date,certificate,amenities
Brush Creek Distillery,,,,"6065 Hwy 130, Saratoga, Wyoming, 82331",41.355298,-106.605795,,,,,,,
Copper Barrel Distillery,,,,"508 Main St, North Wilkesboro, North Carolina, 28659",36.161859,-81.141463,,,,,,,['']
Club Caribe Rum Distillers,,,,"109 Calle José de Diego, Cidra, Puerto Rico, 00739",18.171839,-66.157711,,,,,,,
Chippewa River Distillery,,,,"402 West River Street, Chippewa Falls, Wisconsin, 54729",44.932045,-91.395886,,,,,,,
Cat's Eye Distillery,,,,"3232 Bear Tooth Ct, Bettendorf, Iowa, 52722",41.553628,-90.446167,,,,,,,
Broken Arrow Spirits,,,,"15353 E Hinsdale Cir suite C, Centennial, Colorado, 80112",39.582268,-104.810016,,,,,,,
Catoctin Creek Distilling Company,,,,"120 W Main Street, Purcellville, Virginia, 20132",39.136501,-77.715027,,,,,,,['']
Candella Micro Distillery,,,,"4440 Market St, Boardman, Ohio, 44512",41.054109,-80.663082,,,,,,,
Buckeye Distillery,,,,"220 South 4th Street, Tipp City, Ohio, 45371",39.958389,-84.172164,,,,,,,['']
Butler Creek Distilling,,,,"4937 Hwy 187, Eureka Springs, Arkansas, 72631",36.426458,-93.785202,,,,,,DSP-AR-20013,
Cocke Mountain Moonshine Distillery,,,,"238 East Broadway Street, Newport, Tennessee, 37821",35.967041,-83.187658,,,,,,,
Company Distilling,,,,"1557 Thompson’s Station Rd W, Thompson’s Station, Tennessee, 37179",35.799867,-86.911323,,,,,,,['']
Burnt Barn Distilling Company (Coming Soon),,,,"195 Wayland Road, Paradise, California, 95969",39.727999,-121.650077,,,,,,,
Buffalo Bayou Distilleries,,,,"1200 West Walker Tunnel, Houston, Texas, 77002",29.760427,-95.369803,,,,,,,
Call Family Distillers,,,,"1611 Industrial Dr, Wilkesboro, North Carolina, 28697",36.140945,-81.195892,,,,,,,['']
Casa Silencio Distillery & Boutique Hotel,,,,"Unnamed Road, Xaagá, Oaxaca, 70430",16.909952,-96.318575,,,,,,,
CEO Distilling,,,,"4211 E Elwood St, #3, Phoenix, Arizona, 85040",33.414272,-111.990535,,,,,"November 30, 2019",DSP-AZ-20042,
Circumstance Distillery,,,,"Unit 2, Whitehall Trading Estate, Gerrish Ave, Redfield, Bristol, England, BS5 9DF",51.460779,-2.559629,,,,,,,['']
Cape Fear Winery and Distillery,,,,"277 Bourbon Street, Elizabethtown, North Carolina, 28337",34.605119,-78.58894,,,,,,,
Cape Charles Distillery,,,,"222 Mason Ave, Cape Charles, Virginia, 23310",37.267011,-76.018379,,,,,,,
Chicago Distilling Company,,,,"2359 N Milwaukee Ave, Chicago, Illinois, 60647",41.924302,-87.699055,,,,,,,
Copper Crow Distillery,,,,"#37395, 54814 State Hwy 13, Bayfield, Wisconsin, 54814",46.856904,-90.793354,,,,,,,
Caol Ila Distillery,,,,"Port Askaig, Argyll, Scotland, PA46 7RL",55.857377,-6.112776,,,,,,,['']
Buffalo Distilling Company,,,,"860 Seneca St, Buffalo, New York, 14210",42.875042,-78.845276,,,,,,DSP-NY-15054,['']
Canterbury Brewers & Distillers,,,,"77 Stour St., Canterbury, England, CT1 2NR",51.278728,1.078208,,,,,,,['']
Channel Islands Distillery,,,,"Ventura, California",34.274646,-119.229032,,,,,,,['']
ChainBridge Distillery,,,,"3500 NE 11th Ave, Oakland Park, Florida, 33334",26.171545,-80.132174,,,,,,,
Copper Still Distillery,,,,"1600 W Acoma Blvd Ste65, Lake Havasu City, Arizona, 86403",34.495504,-114.353354,,,,,,,
Brushy Mountain Distillery,,,,"9182 Hwy 116, Petros, Tennessee, 37845",36.104517,-84.448653,,,,,,,
Cane Creek Distillery,,,,"18685 W 73rd St S, Boynton, Oklahoma, 74422",35.653223,-95.641036,,,,,,,
Conneaut Cellars Winery & Distillery,,,,"12005 Conneaut Lake Rd, Conneaut Lake, Pennsylvania, 16316",41.601906,-80.297327,,,,,,,['']
Burwood Distillery,,,,"2566 Flanders Ave SW Suite 100, Calgary, Alberta, T3E 7H9",51.017155,-114.122464,,,,,,,
CH Distillery and Cocktail Bar,,,,"564 W Randolph Street, Chicago, Illinois, 60661",41.884709,-87.642352,,,,,,,
Chattooga Belle Farm Distillery,,,,"12351 Long Creek Highway, Long Creek, South Carolina, 29658",34.773426,-83.259048,,,,,,,
Collier and McKeel,,,,"600 Church Street, Nashville, Tennessee, 37219",36.162664,-86.781602,,,,,,,['']
Catskill Provisions Distillery,,,,"16 Upper Main St, Callicoon, New York, 12723",41.766761,-75.057145,,,,,,,['']
Charbay Winery & Distillery,,,,"3001 S State St suite 48, Ukiah, California, 95482",39.11136,-123.196517,,,,,,,
Caledonia Spirits Distillery & Bar,,,,"116 Gin Lane, Montpelier, Vermont, 05602",44.250681,-72.564888,,,,,,,['EV Charging']
Copper Fiddle Distillery,,,,"532 W, IL-22 #110, Lake Zurich, Illinois, 60047",42.190475,-88.103855,,,,,,,
Conecuh Ridge Distillery - Clyde May's Whiskey (Coming Spring 2024),,,,"268 Clyde May Way, Troy, Alabama, 36081",31.824071,-85.977106,,,,,,,
Cape May Distillery,,,,"371 NJ-47, Cape May Court House, New Jersey, 08210",39.055059,-74.901325,,,,,,,
Christmas City Spirits,,,,"564 Main St #2, Bethlehem, Pennsylvania, 18018",40.62191,-75.381697,,,,,,,
Cooperstown Distillery,,,,"11 Railroad Ave, Cooperstown, New York, 13326",42.699482,-74.931889,,,,,,,
Clayton Distillery,,,,"40164 NY-12, Clayton, New York, 13624",44.248603,-76.049083,,,,,,,
Capital Distillery,,,,"32 Learned St, Albany, New York, 12207",42.661057,-73.743419,,,,,,,['']
Copper Bottom Craft Distillery,,,,"998 N Beach St., Holly Hill, Florida, 32117",29.229037,-81.027558,,,,,,,['EV Charging']
Coastal Bend Distilling Co.,,,,"201 North Madison Ave., Beeville, Texas, 78102",28.401139,-97.750151,,,,,,,
Castle & Key Distillery,,,,"4445 McCracken Pike, Frankfort, Kentucky, 40601",38.14764,-84.832728,,,,,,DSP-KY-18,['']
Connecticut Distilling,,,,"2066 Thomaston Ave, Waterbury, Connecticut, 06704",41.597583,-73.056362,,,,,,,
Cold River Vodka,,,,"76 Main Street, Freeport, Maine, 4032",43.857007,-70.10312,,,,,,,['']
Broken Barrel Whiskey Co.,,,,"2332 E. 8th Street, Los Angeles, California, 90021",34.029507,-118.230997,,,,,,,['']
Camp 1805 Distillery,,,,"501 Portway Ave #102, Hood River, Oregon, 97031",45.714664,-121.51565,,,,,,,['']
Cedar Creek Distillery,,,,"3820 Leonard Road, Martinsville, Indiana, 46151",39.403073,-86.358493,,,,,,,['']
Cooper's Chase Distillery,,,,"584 18th Rd, West Point, Nebraska, 68788",41.812862,-96.690504,,,,,,,
Cardhu Distillery,,,,"Knockando, Aberlour, Scotland, AB38 9QP",57.474911,-3.216983,,,,,,,
Bull Run Distilling,,,,"2259 NW Quimby St, Portland, Oregon, 97210",45.533648,-122.698038,,,,,,,['']
Colorado Gold Distillery,,,,"4242 N Nevada Ave, Colorado Springs, Colorado, 80907",38.894143,-104.819143,,,,,,,
Cooper River Distillers (Closed),,,,"34 N. 4th St., Camden, New Jersey, 08104",39.945477,-75.122299,,,,,,,
Casa Maestri,,,,"México 15 102, Santa Cruz de Los Espinos, Jalisco, 46403",20.879191,-103.824348,,,,,,,
Connacht Whiskey Company,,,,"Belleek, Ballina, Co. Mayo, F26 P932",54.121715,-9.144475,,,,,,,['']
Chicken Hill Distillery,,,,"277 Fairview Rd, Kersey, Pennsylvania, 15846",41.361437,-78.590613,,,,,,,['']
Bully Boy Distillers,,,,"44 Cedric Street, Boston, Massachusetts, 02119",42.325397,-71.070573,,,,,,,
California Distilled Spirits,,,,"Auburn, California",38.896565,-121.07689,,,,,,,
Carefree Spirits Distillery,,,,"6201 E Cave Creek Rd, Suite C, Cave Creek, Arizona, 85331",33.831838,-111.947359,,,,,,,
CJ Spirits,,,,"129 North Fraley Street, Kane, Pennsylvania, 16735",41.662839,-78.811143,,,,,,,['']
City Gate Spirits,,,,"11 St George St, St. Augustine, Florida, 32084",29.897422,-81.313145,,,,,,,['']
Cleveland Whiskey,,,,"1768 E 25th St, Cleveland, Ohio, 44114",41.506046,-81.672077,,,,,,,
Century Farms Distillery,,,,"2304 Hwy Blvd, Spencer, Iowa, 51301",43.161889,-95.147157,,,,,,,
Burl & Sprig,,,,"500 W Western Ave Suite 300, Muskegon, Michigan, 49440",43.234138,-86.255805,,,,,,,['']
Cooperstown Beverage Trail,,,,"288 Goose St, Fly Creek, New York, 13337",42.723203,-74.97881,,,,,,,
Brothers Vilgalys Spirits Company,,,,"803 Ramseur St, Durham, North Carolina, 27701",0,0,,,,,,,['']
Cadee Distillery,,,,"8825 Washington 525, Clinton, Washington, 98236",47.978428,-122.355696,,,,,,,['']
Claremont Distilled Spirits,,,,"25 Commerce Road, Fairfield, New Jersey, 07004",40.870683,-74.321537,,,,,,,
Chambers Bay Distillery,,,,"2534 Grandview Drive West, University Place, Washington, 98466",47.235654,-122.550404,,,,,,,
Brothers Spirits,,,,"Buellton, California",34.613597,-120.192651,,,,,,,
Calwise Spirits Co.,,,,"3340 Ramada Drive, Suite B, Paso Robles, California, 93446",35.573564,-120.697105,,,,,,DSP-CA-20208,
California Artisanal Distillers Guild,,,,"5050 Robert J Mathews Pkwy, El Dorado Hills, California, 95762",38.622631,-121.059354,,,,,,,
Cannon Beach Distillery (Permanently closed),,,,"1315 S Hemlock St, Cannon Beach, Oregon, 97110",45.88863,-123.961714,,,,,,,['']
Casa Orendain,,,,"Tabasco 208, Centro, Jalisco, 46400",20.880007,-103.847078,,,,,,,
Cal Czech Distillery,,,,"Angels Camp, California",38.067783,-120.53853,,,,,,,
Cali Shine Distillery Co.,,,,"Olivehurst, California",39.095448,-121.552186,,,,,,,
Columbus Distillery Trail,Ohio,Columbus Distillery Trail,Trails,"Columbus, Ohio, 43215",39.961176,-82.998794,,,,,,,
Captive Spirits Distilling,,,,"1138 West Ewing Street, Seattle, Washington, 98119",47.656542,-122.372978,,,,,,,['']
Chattanooga Whiskey,,,,"1439 Market Street, Chattanooga, Tennessee, 37402",35.037292,-85.307545,,,,,,,['']
Broadslab Distillery,,,,"4682 State Hwy 50 S, Benson, North Carolina, 27504",35.347335,-78.49085,,,,,,,['']
Central Standard Craft Distillery,,,,"2330 E Clybourn St (Not open to the Public), Milwaukee, Wisconsin, 53202",43.036454,-87.903949,,,,,,,
Copper Moon Distillery,,,,"69 Parker St, Springfield, Massachusetts, 01151",42.153938,-72.489225,,,,,,,['']
Cathead Distillery,,,,"422 S Farish St, Jackson, Mississippi, 39201",32.295775,-90.187587,,,,,,,
Chesapeake Bay Distillery,,,,"Virginia Beach, Virginia, 23451",36.852926,-75.977985,,,,,,,
Bushmills Distillery,,,,"2 Distillery Rd, Bushmills, County Antrim, Northern Ireland, BT57 8XH",55.202017,-6.519548,,,,,,,['']
Copper Ridge Distillery (Closed),,,,"6 North Vermilion Street, Danville, Illinois, 61832",40.124481,-87.630021,,,,,,,['']
Cold Spring Hollow Distillery,,,,"8 Findlay Dr, Mercersburg, Pennsylvania, 17236",39.83737,-77.906369,,,,,,,['']
Colwith Farm Distillery,,,,"Pelyn Cross, Lanlivery, Lostwithiel, England, PL22 0JG",0,0,,,,,,,['']
Celebration Distillation,,,,"2815 Frenchmen St., New Orleans, Louisiana, 70122",29.986551,-90.059241,,,,,,,
Bruinwood Estate Distillery,,,,"2040 Porter Road Roberts Creek, Roberts Creek, British Columbia, V0N 2W5",49.416635,-123.5829,,,,,,,['']
Caiseal Beer & Spirits,,,,"504 North King Street, Hampton, Virginia, 23669",37.031249,-76.345345,,,,,,,
Broken Shed Distilleries,,,,"368 Center St, Southport, Connecticut, 06890",41.135229,-73.289044,,,,,,,['']
Brothers Wright Distilling Co.,,,,"MP4V+CH, Aflex, Kentucky, 41514",37.656063,-82.256063,,,,,,,
Brother Justus Whiskey Company,,,,"3300 5th St NE Suite B, Minneapolis, Minnesota, 55418",45.028966,-93.261101,,,,,,,
Cook Inlet Distillery,,,,"1500 N Post Rd, Anchorage, Alaska, 99501",61.225104,-149.854826,,,,,,,
Copper Rivet Distillery,,,,"Pump House no. 5, Leviathan Way, Chatham, England, ME4 4LP",51.404507,0.534384,,,,,,,['']
Caskwerks Distilling Co.,,,,"Tempe, Arizona",33.42551,-111.940005,,,,,,,
Cedar Ridge Vineyards Winery & Distillery,,,,"1441 Marak Road Northwest, Swisher, Iowa, 52338",41.831338,-91.677512,,,,,,,
Chronicles Distilling,,,,"1506 Thomes Ave, Cheyenne, Wyoming, 82001",41.130707,-104.818513,,,,,,,
Cascade Hollow Distilling Co. – Home of George Dickel,,,,"1950 Cascade Hollow Road, Normandy, Tennessee, 37360",35.438285,-86.244465,,,,,,DSP-TN-2,['']
Copper Fox Distillery,,,,"9 River Lane, Sperryville, Virginia, 22740",38.658189,-78.217201,,,,,,,['']
Cirrus Vodka,,,,"701 East Grace Street, Richmond, Virginia, 23219",37.540725,-77.436048,,,,,,,
Buoncello,,,,"111 Wooster St, Bethel, Connecticut, 06801",41.382832,-73.417607,,,,,,,
Civilized Spirits,,,,"13512 Peninsula Drive, Traverse City, Michigan, 49684",44.886174,-85.528352,,,,,,,['']
Cathedral Ledge Distillery,,,,"3340 White Mountain Hwy, North Conway, New Hampshire, 03860",44.06782,-71.14369,,,,,,,
Coal Pick Distillery,,,,"1825 Log Creek Lane, Drakesboro, Kentucky, 42337",37.359663,-87.262256,,,,,,DSP-KY-20051,['']
Burlock and Barrel Distillery,,,,"417 Magnolia St, Jacksonville, Florida, 32204",30.321504,-81.675478,,,,,,,
"Chankaska Creek Ranch, Winery & Distillery",,,,"1179 East Pearl Street, Kasota, Minnesota, 56050",44.289696,-93.95089,,,,,,,
Clynelish Distillery,,,,"Clynelish Rd, Brora, Scotland, KW9 6LR",58.012157,-3.852548,,,,,,,
Cooper King Distillery,,,,"The Old Stable, Stillington Road, Sutton-on-the-Forest, York, England, YO61 1EH",54.083873,-1.110235,,,,,,,
Bunnahabhain Distillery,,,,"Argyll, Scotland, PA49 7UN",55.775741,-6.359758,,,,,,,['']
Chicken Cock Whiskey,,,,"103 E Stephen Foster Ave, Bardstown, Kentucky, 40004",37.808589,-85.466601,,,,,,,['']
Connecticut Valley Distillery (Permanently Closed),,,,"7 Industrial Drive, Ellington, Connecticut, 06029",41.920213,-72.454746,,,,,,,
Canal Spirits Craft Distillery,,,,"122 Cherry Street East, Canal Fulton, Ohio, 44614",40.889778,-81.597623,,,,,,,
Cockpit Craft Distillery (Closed),,,,"4893 Galley Road, Colorado Springs, Colorado, 80915",38.846469,-104.7371,,,,,,,
Castle Spirits Distillery,,,,"1249 NW 4th St, Oklahoma City, Oklahoma, 73106",35.472436,-97.53399,,,,,,,
Copper Kettle Distilling,,,,"939 W Houghton Lake Dr, Prudenville, Michigan, 48651",44.298351,-84.651967,,,,,,,['']
Bucket Shop Distillery,,,,"741 North Main Street, Spearfish, South Dakota, 57783",44.490817,-103.85937,,,,,,,
Cinco Vodka,,,,"198 Dolorosa, San Antonio, Texas, 78205",29.424122,-98.493628,,,,,,,['']
Cantilever Distillery + Hotel,,,,"2078 Spruce Street, Ranier, Minnesota, 56668",48.614595,-93.348418,,,,,,,
Citrus Grove Distillers,,,,"1420 N Claremont Blvd #111A, Claremont, California, 91711",34.109687,-117.702353,,,,,,,
Brough Brothers Distillery,Kentucky,Louisville,Black Owned,"1809 Bolling Ave, Louisville, Kentucky, 40210",38.229379,-85.790316,,,,,,DSP-KY-20062,['']
Colorado Spirits Trail,Colorado,Colorado Spirits Trail / Denver,Trails,"1451 Bannock Street, Denver, Colorado, 80202",39.739236,-104.990251,,,,,,,
Cascade Street Distillery,,,,"261 W Cascade Ave, Sisters, Oregon, 97759",44.29109,-121.55186,,,,,,,
Company Rum Farm,,,,"59 Kohala Mountain Rd, Waimea, Hawaii, 96743",20.116963,-155.788606,,,,,,,
Clear Creek Distillery,,,,"304 Oak St., Suite 3, Hood River, Oregon, 97031",45.709123,-121.513631,,,,,,,['']
Central Kentucky Tours,,,,"638 Beaumont Dr, Harrodsburg, Kentucky, 40330",37.752597,-84.842739,,,,,,,['']
Coastal Spirits,,,,"San Carlos, California",37.507159,-122.260522,,,,,,,
Colorado Distillers Guild,Colorado,Denver,Associations / Guilds,"1451 Bannock Street, Denver, Colorado, 80202",39.739236,-104.990251,,,,,,,
Bruichladdich Distillery,,,,"Isle of Islay, Bruichladdich, Scotland, PA49 7UN",55.765688,-6.362,,,,,,,['Certified B Corporation']
Connecticut Spirits Trail,Connecticut,Connecticut Spirits Trail,Trails,Connecticut,41.603221,-73.087749,,,,,,,
Charboneau Distillery,,,,"613 Jefferson St, Natchez, Mississippi, 39120",31.560307,-91.399224,,,,,,,
Copper Run Distillery,,,,"1901 Day Road, Walnut Shade, Missouri, 65771",36.801262,-93.244476,,,,,,,
Crooked Creek Distillery,,,,"104 South N Water Street, West Newton, Pennsylvania, 15089",40.210428,-79.767769,,,,,,,
Cutwater Spirits,,,,"9750 Distribution Ave, San Diego, California, 92121",32.884401,-117.163699,,,,,,,['']
Delaware Distilling Company (Closed),,,,"18693 Coastal Hwy, Rehoboth Beach, Delaware, 19971",38.720945,-75.076014,,,,,,,
Dartmoor Whisky Distillery,,,,"Old Town Hall, Bovey, Tracey, England, TQ13 9EG",50.594943,-3.672537,,,,,,,
Crouch Distilling,,,,"Columbia, South Carolina, 29201",34.00071,-81.034814,,,,,,,
Dry Point Distillers,,,,"1680 Calle De Alvarez, Las Cruces, New Mexico, 88005",32.282164,-106.793826,,,,,,,
Crystal Spirits,,,,"20 South Main Street, Dayton, Ohio, 45402",39.758948,-84.191607,,,,,,,['']
Danny Boy Distilling Works,,,,"12702 Meeting House Road, Carmel, Indiana, 46032",39.971539,-86.197165,,,,,,,['']
Denmark Distilling,,,,"5046 County Rd R, Denmark, Wisconsin, 54208",43.78444,-88.787868,,,,,,,
District Distilling Co.,,,,"1414 U St NW, Washington, Washington D.C., 20009",38.916855,-77.032496,,,,,,,['']
Dad's Hat Rye,,,,"925 Canal Steet, Bristol, Pennsylvania, 19007",40.104106,-74.851718,,,,,,,
Dehner Distillery,,,,"7500 University Avenue, Clive, Iowa, 50325",41.599973,-93.720147,,,,,,,
Dry Diggings Distillery,,,,"5050 Robert J Mathews Pkwy, El Dorado Hills, California, 95762",38.622631,-121.059354,,,,,,,
Dalton Distillery,,,,"251 Biltmore Avenue, Asheville, North Carolina, 28801",35.586249,-82.552189,,,,,,,
Dead of Night Distillery,,,,"2190 E 14th St Unit 145, Los Angeles, California, 90021",34.023379,-118.233285,,,,,,,['']
Cutler'S Artisan Spirits,,,,"Santa Barbara, California",34.420831,-119.69819,,,,,,,['']
Dark Door Spirits,,,,"4410 W Crest Ave Unit C, Tampa, Florida, 33614",27.993516,-82.518668,,,,,,,['']
Dash Vodka Distillery,,,,"934 Waller Avenue, Brookshire, Texas, 77423",29.786064,-95.951066,,,,,,,
Covington Spirits,,,,"963 Hwy. 258 South, Snow Hill, North Carolina, 28580",35.427843,-77.662344,,,,,,,
Craftsman Distilling Company,,,,"Louisville, Kentucky",38.252665,-85.758456,,,,,,,['']
Deviation Distilling,,,,"1821 Blake St #130, Denver, Colorado, 80202",39.753054,-104.9967,,,,,,,
Dread River Distilling Co.,,,,"2400 7th Ave S, Birmingham, Alabama, 35233",33.509016,-86.794334,,,,,,,
Diageo Lebanon Distillery,,,,"100 Bourbon Drive, Lebanon, Kentucky, 40033",37.569787,-85.252738,,,,,,DSP-KY-20084,['Not Open to Public']
Devils Creek Distillery,,,,"123 Commerce Dr B8, Mammoth Lakes, California, 93546",37.641794,-118.950567,,,,,,,
Cotherman Distilling Company,,,,"1090 Pinehurst Road, Dunedin, Florida, 34698",28.01974,-82.771768,,,,,,,['']
Doc Porter's Craft Spirits,,,,"232 Peterson Dr, Charlotte, North Carolina, 28217",35.188287,-80.879757,,,,,,,['']
Cultivated Cocktails Distillery,,,,"25 Page Ave, Suite 103, Asheville, North Carolina, 28801",35.596062,-82.556039,,,,,,,
Crown Valley Brewing and Distilling,,,,"13326 State Hwy F, Ste. Genevieve, Missouri, 63670",37.776111,-90.21617,,,,,,,
Dark Island Spirits,,,,"Alexandria Bay, New York, 13607",44.335884,-75.917731,,,,,,,
Distilled Spirits Council of Vermont,,,,"Burlington, Vermont, 5401",44.475883,-73.212072,,,,,,,['']
Dark Arts Whiskey House,,,,"203 Lisle Industrial Ave Unit 160, Lexington, Kentucky, 40511",38.062548,-84.526233,,,,,,,['']
Deerhammer Distilling Company,,,,"321 E Main St, Buena Vista, Colorado, 81211",38.842218,-106.131129,,,,,,,['']
Drop Shop Distillery,,,,"7940 NE NW Nicholas Ct Suite F, Hillsboro, Oregon, 97124",45.53154,-122.89803,,,,,,,['']
Dogwood Distilling,,,,"1835 19th Ave, Forest Grove, Oregon, 97116",45.518611,-123.114534,,,,,,,['']
Domaine Sazerac de Segonzac,,,,"Lieu dit Chez Collet, Segonzac, 161301",45.617721,-0.218194,,,,,,,
DorWood Distillery,,,,"201 Industrial Way, Buellton, California, 93427",34.614581,-120.199654,,,,,,DSP-CA-20087,
Divine Distillers,,,,"2195 Hyacinth st. NE #142, Salem, Oregon, 97301",44.981673,-123.001539,,,,,,,['']
Drift Distillery,,,,"940 Calle Amanecer, Suite K, San Clemente, California, 92673",33.45008,-117.605526,,,,,,,['']
Crittenden Distillery,,,,"19193 Highway 43, Kiln, Mississippi, 39556",30.445808,-89.464155,,,,,,,
Donum Dei Brewery and Distillery,,,,"3211 Grant Line Road, New Albany, Indiana, 47150",38.326146,-85.820825,,,,,,,['']
Crown Rose Estate Distillery,,,,"1902 Jefferson Pike, Knoxville, Maryland, 21758",39.349304,-77.604877,,,,,,,['']
Deacon Giles Distillery and The Speakeasy Lab,,,,"75 Canal St., Salem, Massachusetts, 01970",42.512842,-70.896209,,,,,,,
Dairy Distillery,,,,"34 Industrial Drive, Almonte, Ontario, K0A 1A0",45.232666,-76.182245,,,,,,,
DikinDurt Distillery,,,,"115 Smith Rd, Herkimer, New York, 13350",43.058892,-74.9705,,,,,,,
Deep Ellum Distillery,,,,"2880 Clover St, Dallas, Texas, 75226",32.782601,-96.782553,,,,,,,['']
Cougar Red Distillery (Closed),,,,"1252 Orville Boyd Rd, Pullman, Washington, 99163",46.729777,-117.181738,,,,,,,
Denny Bar Company Distillery,,,,"511 Main Street, Etna, California, 96027",41.456167,-122.894638,,,,,,,
Dancing Rabbit Distillery,,,,"2075 Parade Rd, Laconia, New Hampshire, 03246",43.572221,-71.490725,,,,,,,
Donati Spirits,,,,"2720 Oak View Road, Templeton, California, 93465",35.552964,-120.759631,,,,,,DSP-CA-20260,
Coulter & Payne Farm Distillery,,,,"Union, Missouri, 63084",38.450052,-91.008476,,,,,,,
Deep Woods Distillery,,,,"48217 E 1st St, Oakridge, Oregon, 97463",43.747987,-122.460778,,,,,,,
Dry Land Distillers,,,,"519 Main St, Longmont, Colorado, 80501",40.168162,-105.102941,,,,,,,
Drexel Whiskey,,,,"13124 Charlevoix St., Detroit, Michigan, 48215",42.380394,-82.957065,,,,,,,
Dogtown Distilling,,,,"Oakland, California",37.804364,-122.271114,,,,,,,
Distillery 291,,,,"4242 N Nevada Ave, Colorado Springs, Colorado, 80907",38.894143,-104.819143,,,,,,,
Do Good Distillery,,,,"Modesto, California",37.639097,-120.996878,,,,,,,
Dogfish Head Distilling,,,,"6 Village Center Blvd, Milton, Delaware, 19968",38.770409,-75.31006,,,,,,,
Dark Corner Distillery,,,,"14 S Main Street, Greenville, South Carolina, 29601",34.850448,-82.399485,,,,,,,
Deep Eddy Distilling,,,,"2250 E Hwy 290, Dripping Springs, Texas, 78620",30.194407,-98.05335,,,,,,,['']
Crowded Barrel Whiskey Co.,,,,"16221 Crystal Hills Dr. Building D, Austin, Texas, 78737",30.145316,-97.966741,,,,,,,['']
Deep Roots Distillery,,,,"2100 N York River Rd, Warren Grove, Prince Edward Island, C0A 1H5",46.27573,-63.21642,,,,,,,
Crescendo Organic Spirits,,,,"Mill Street4065 W 11th Ave #47, Eugene, Oregon, 97402",44.047911,-123.093538,,,,,,,
Downslope Distilling,,,,"6770 S Dawson Cir ste 400, Englewood, Colorado, 80112",39.594352,-104.816826,,,,,,,
Dachshund Distilling,,,,"1103a 6th Ave, Neptune City, New Jersey, 07753",40.203589,-74.019925,,,,,,,
Doucette Distillery,,,,"629 Hoehn Rd, Big River SK, Saskatchewan, S0J 0E0",53.839643,-107.028217,,,,,,,
Du Nord Social Spirits,,,,"2610 E 32nd St., Minneapolis, Minnesota, 55406",44.945072,-93.23456,,,,,,,
Dragon Distillery,,,,"1341 Hughes Ford Road, Suite 108, Frederick, Maryland, 21701",39.416857,-77.382416,,,,,,,['']
Desert Door Distillery,,,,"211 Darden Hill Rd, Driftwood, Texas, 78619",30.151326,-98.048232,,,,,,,['']
Delaware Phoenix Distillery,,,,"20 Townsend Street, Walton, New York, 13856",42.16953,-75.129335,,,,,,,['']
Distillery 365,,,,"3530 Monte Vista Boulevard Northeast, Albuquerque, New Mexico, 87106",35.085334,-106.605553,,,,,,,
Distilled Spirits Council of the United States – DISCUS,Washington D.C.,DISCUS,Associations / Guilds,"1250 I St NW #400, Washington D.C., 20005",38.901095,-77.02919,,,,,,,['']
Denver Local Tours,,,,"1701 Wynkoop Street, Denver, Colorado, 80202",39.753204,-105.000179,,,,,,,
Driftless Glen Distillery,,,,"300 Water Street, Baraboo, Wisconsin, 53913",43.466421,-89.738674,,,,,,,
Distillers Grains Technology Council,,,,"3327 Elings Hall, Ames, Iowa, 50011",42.027437,-93.652666,,,,,,,
Dirty Water Distillery,,,,"10 Water Street, Plymouth, Massachusetts, 02360",41.954927,-70.662156,,,,,,,
Distilled Experiences,,,,"Tates Creek Rd., Lexington, Kentucky, 40502",38.008721,-84.495763,,,,,,,['']
Distillers Guild of Alaska,,,,"624 West 9th Street, Juneau, Alaska, 99801",58.301944,-134.419722,,,,,,,
Cowboy Country Distilling,,,,"1 Cobblestone Drive, US-191, Pinedale, Wyoming, 82941",42.799843,-109.804958,,,,,,,
DR Distillery,,,,"126 Pennsylvania 173, Slippery Rock, Pennsylvania, 16057",41.063951,-80.056447,,,,,,,
Dry Fly Distilling,,,,"1003 E Trent Avenue, Spokane, Washington, 99202",47.662705,-117.394186,,,,,,,
Desert Distilling,,,,"Palm Desert, California",33.722245,-116.374456,,,,,,,['']
Crawford Distillery,,,,"336 2nd St, Havre, Montana, 59501",48.55208,-109.677218,,,,,,,
Dalwhinnie Distillery,,,,"Inverness-shire, Dalwhinnie, Scotland, PH19",56.936604,-4.242783,,,,,,,['']
Devils Backbone Distilling,,,,"35 Mosbys Run, Roseland, Virginia, 22967",37.870784,-78.919649,,,,,,,
Distiller's Guild of Utah,,,,"395 Main Street, Salt Lake City, Utah, 84111",40.760779,-111.891047,,,,,,,['']
Coppermuse Distillery,,,,"244 N College Ave #105, Fort Collins, Colorado, 80524",40.590232,-105.076451,,,,,,,
Coppersea Distilling,,,,"239 Springtown Road, New Paltz, New York, 12561",41.778633,-74.08991,,,,,,,
Doghouse Distillery,,,,"Unit L, London Stone Business Estate, Broughton St, London, England, SW8 3QR",51.471804,-0.150867,,,,,,,['']
Doc Collier Moonshine Distillery,,,,"519 Parkway, Gatlinburg, Tennessee, 37738",35.714259,-83.510164,,,,,,,
Denver Distillery,,,,"244 S Broadway, Denver, Colorado, 80209",39.712174,-104.987347,,,,,,,
Dam Whiskey Co.,,,,"1265 Hales Bar Rd, Guild, Tennessee, 37340",35.04691,-85.535975,,,,,,,['']
