dis_name,instagram_link,short_info,region,founded,owner,status,website,open_for_visits,capacity,types,cereals,water,longitude,latitude,url
Vinet Delpech,,,"Nouvelle-Aquitaine, France",1934,,operational,www.vinet-delpech.com,,,,,,-0.2934,45.46765,https://whiskey-map.com/distillery/vinet-delpech/324
Escagnan,https://www.instagram.com/distillerie.escagnan,,"Occitania, France",-,,operational,www.moonshine-francais.fr,No,,moonshine,,,0.06266,43.87716,https://whiskey-map.com/distillery/escagnan/325
Lagomorphe,https://www.instagram.com/whiskylagomorphe,,"Centre-Val de Loire, France",2019,,startup,faronville.com,,,single malt,barley,,2.05016,48.213,https://whiskey-map.com/distillery/lagomorphe/326
Fontagard,https://www.instagram.com/whiskydefontagard,,"Nouvelle-Aquitaine, France",1878,,operational,whisky-fontagard.com,,,single malt,barley,,-0.40295,45.51167,https://whiskey-map.com/distillery/fontagard/327
Landa's,,,"Occitania, France",1957,,operational,www.landas.store,,,single malt,"barley, corn",,2.6554,44.05862,https://whiskey-map.com/distillery/landas/329
Saint-Palais,,,"Nouvelle-Aquitaine, France",2014,,operational,www.sve-distillerie.com/fr,,,single malt,,,-0.21065,45.29114,https://whiskey-map.com/distillery/saint-palais/331
Tessendier,https://www.instagram.com/distillerie_tessendier,,"Nouvelle-Aquitaine, France",1880,,operational,www.cognac-tessendier.com/,,,blended,,,-0.31046,45.70032,https://whiskey-map.com/distillery/tessendier/332
Starward,https://www.instagram.com/starwardwhisky,,"Victoria, Australia",2007,,operational,starward.com.au,Yes,,single malt,,,144.9388,-37.82958,https://whiskey-map.com/distillery/starward/333
Bus,https://www.instagram.com/buswhisky,,"Noord-Brabant, Netherlands",2015,Dennis Hurkmans & Ezra Leeger,operational,www.buswhisky.com,Yes,,single malt,,,5.51467,51.66344,https://whiskey-map.com/distillery/bus/335
Us Heit,https://www.instagram.com/usheitdistillery,,"Frisia, Netherlands",1985,,operational,www.usheit.com,Yes,,single malt,,,5.53397,53.06108,https://whiskey-map.com/distillery/us-heit/337
De IJsvogel,,,"Limburg, Netherlands",1993,,operational,www.ijsvogel.com,Yes,,single malt,,,6.1825,51.47001,https://whiskey-map.com/distillery/de-ijsvogel/338
Sculte,https://www.instagram.com/stokerij_sculte,,"Overijssel, Netherlands",-,Gerard Velthuis,operational,stokerijsculte.nl,Yes,,single malt,,,6.89919,52.40827,https://whiskey-map.com/distillery/sculte/339
Aber Falls,https://www.instagram.com/aberdistillery,,"Wales, United Kingdom",2017,,operational,www.aberfallsdistillery.com,Yes,,single malt,,,-4.02107,53.23859,https://whiskey-map.com/distillery/aber-falls/340
Dà Mhìle,https://www.instagram.com/damhiledistillery,,"Wales, United Kingdom",1981,,operational,www.damhile.co.uk,Yes,,"blended, single malt",,,-4.37833,52.08238,https://whiskey-map.com/distillery/da-mhile/342
In the Welsh Wind,https://www.instagram.com/inthewelshwind,,"Wales, United Kingdom",2018,-,operational,www.inthewelshwind.co.uk,Yes,,single malt,barley,,-4.51395,52.11483,https://whiskey-map.com/distillery/in-the-welsh-wind/343
Basque Moonshiners,https://www.instagram.com/bmoonshiners,,"Basque Country, Spain",2014,,operational,basquemoonshiners.es,,,single malt,,,-2.7105,42.85237,https://whiskey-map.com/distillery/basque-moonshiners/344
Teichenné,https://www.instagram.com/teichenneliquors,,"Catalonia, Spain",1956,,operational,teichenne.com/en,No,,blended,,,1.56937,41.23694,https://whiskey-map.com/distillery/teichenne/345
Liber,https://www.instagram.com/destileriasliber,,,,-,operational,destileriasliber.com,Yes,,"single malt, pure malt",barley,,-3.63253,37.03135,https://whiskey-map.com/distillery/liber/346
Ziegler,https://www.instagram.com/brennereiziegler,,"Baden-Württemberg, Germany",1865,J. & M. Ziegler GmbH,operational,brennerei-ziegler.de,Yes,,"blended, single malt",,,9.3201,49.74,https://whiskey-map.com/distillery/ziegler/347
Rothaus,https://www.instagram.com/badischestaatsbrauereirothaus,,"Baden-Württemberg, Germany",2005,,operational,www.rothaus.de/brauerei/whisky,No,,single malt,,,8.24494,47.79547,https://whiskey-map.com/distillery/rothaus/349
Liebl,,,"Bavaria, Germany",2006,Spezialitäten Brennerei & Whisky Destillerie Gerhard Liebl,operational,brennerei-liebl.de,Yes,14000 l.,single malt,,,12.85763,49.17634,https://whiskey-map.com/distillery/liebl/351
Schlitzer,https://www.instagram.com/schlitzer_destillerie,,"Hesse, Germany",5851,,operational,www.schlitzer-destillerie.de,Yes,,single malt,,,9.55744,50.67518,https://whiskey-map.com/distillery/schlitzer/357
St. Kilian,https://www.instagram.com/stkiliandistillers,,,,Andreas Thümmler,operational,www.stkiliandistillers.com,Yes,,single malt,barley,,9.18565,49.71076,https://whiskey-map.com/distillery/st-kilian/358
Trolden,https://www.instagram.com/troldendestilleriogbryghus,,"Syddanmark, Denmark",2005,,operational,www.trolden.com,Yes,,single malt,,,9.48745,55.54877,https://whiskey-map.com/distillery/trolden/359
La Alazana,,,"Chubut, Argentina",2011,,operational,www.laalazanawhisky.com,No,,single malt,,,-71.52738,-42.00726,https://whiskey-map.com/distillery/la-alazana/361
Madoc,,,"Río Negro, Argentina",-,Pablo Tognetti,operational,www.madocwhisky.com,,,single malt,,,-71.17742,-41.0804,https://whiskey-map.com/distillery/madoc/362
R. Jelínek,https://www.instagram.com/rudolfjelinekvizovice,,"Zlín, Czechia",1894,-,operational,rudolfjelinek.com,Yes,,"blended, single malt",barley,,17.83836,49.21526,https://whiskey-map.com/distillery/r-jelinek/363
Trebitsch Old Town,https://www.instagram.com/trebitsch_whisky,,"Vysočina, Czechia",2015,,operational,www.ceskawhisky.cz,No,192000 l.,"blended, single malt",,,15.88338,49.22001,https://whiskey-map.com/distillery/trebitsch-old-town/364
Tesetice,https://www.instagram.com/tosh_distillery_olomouc,,"Olomouc, Czechia",-,-,operational,toshgin.com,Yes,,single malt,barley,,17.12612,49.59118,https://whiskey-map.com/distillery/tesetice/365
't Koelschip,,,"Flevoland, Netherlands",-,,operational,www.brouwerijhetkoelschip.nl,Yes,,single malt,,,5.22928,52.37084,https://whiskey-map.com/distillery/t-koelschip/367
1000 Hills,https://www.instagram.com/1000hillsdistillery,,"Kigali, Rwanda",2014,,operational,www.1000hills.com,Yes,,single malt,,,30.08375,-1.99944,https://whiskey-map.com/distillery/1000-hills/368
10th Mountain,https://www.instagram.com/10thmtnwhiskey,,"Colorado, United States",2014,,operational,10thwhiskey.com,Yes,,"bourbon, rye, moonshine",,,-106.37386,39.64116,https://whiskey-map.com/distillery/10th-mountain/369
10th Street,https://www.instagram.com/10thstreetdistillery,,"California, United States",2016,,operational,www.10thstreetdistillery.com,No,,"blended, single malt",,,-121.89243,37.34518,https://whiskey-map.com/distillery/10th-street/370
117° West Spirits,,,"California, United States",-,,operational,117westspirits.com,No,,"single malt, rye",,,-117.22977,33.15028,https://whiskey-map.com/distillery/117-west-spirits/371
12.05,https://www.instagram.com/1205distillery,,"Indiana, United States",2014,Brad Colver and Nolan Hudson,operational,www.1205distillery.com,Yes,,"bourbon, rye",,,-86.14564,39.75823,https://whiskey-map.com/distillery/1205/372
1350 Distilling,https://www.instagram.com/1350distilling,,"Colorado, United States",-,,operational,1350distilling.com,Yes,,"bourbon, rye",,,-104.81465,38.83388,https://whiskey-map.com/distillery/1350-distilling/373
1769,https://www.instagram.com/1769distillery,,"Quebec, Canada",2014,,operational,www.1769distillery.com,Yes,,canadian,,,-73.64697,45.42645,https://whiskey-map.com/distillery/1769/374
18th Street,https://www.instagram.com/18thstreetdistillery,,"Indiana, United States",2018,,operational,www.18thstreetdistillery.com,No,,"bourbon, rye",,,-87.51741,41.61512,https://whiskey-map.com/distillery/18th-street/376
2nd City Distilling,https://www.instagram.com/secondcitybeverage.co,,"Georgia, United States",2013,,operational,secondcitybeverageco.com,Yes,,"bourbon, moonshine",,,-81.96382,33.47759,https://whiskey-map.com/distillery/2nd-city-distilling/378
3 Badge Beverage,https://www.instagram.com/3badgecorp,,"California, United States",-,,operational,www.3badge.com,No,,bourbon,,,-122.4574,38.29018,https://whiskey-map.com/distillery/3-badge-beverage/379
45th Parallel,https://www.instagram.com/45thparallelspirits,,"Wisconsin, United States",2007,,operational,45thparalleldistillery.com,Yes,,"bourbon, rye",,,-92.55005,45.10357,https://whiskey-map.com/distillery/45th-parallel/383
52eighty Distilling,https://www.instagram.com/52eightydistilling,,"Colorado, United States",-,-,operational,52eightydistilling.com,Yes,,"blended, bourbon","rye, corn",,-105.1165,39.56667,https://whiskey-map.com/distillery/52eighty-distilling/385
Kinsip / 66 Gilead,https://www.instagram.com/kinsipspirits,,"Ontario, Canada",2009,,operational,www.kinsip.ca,Yes,,"bourbon, rye",,,-77.26855,43.99469,https://whiskey-map.com/distillery/kinsip-66-gilead/387
8 Doors,https://www.instagram.com/8doorsdistillery,,"Highlands, United Kingdom",2022,,operational,www.8doorsdistillery.com,No,,"blended, single malt",barley,,-3.06944,58.6427,https://whiskey-map.com/distillery/8-doors/389
A. Smith Bowman,https://www.instagram.com/a.smithbowman,,,,Sazerac Company,operational,www.asmithbowman.com,Yes,,bourbon,"rye, corn",,-77.45058,38.2818,https://whiskey-map.com/distillery/a-smith-bowman/392
Abbeyhill,,,"Lowlands, United Kingdom",1825,-,closed,-,No,,,,,-3.17194,55.95482,https://whiskey-map.com/distillery/abbeyhill/393
Abbott & Wallace Distilling,https://www.instagram.com/abbottandwallace,,"Colorado, United States",2015,,operational,www.abbottandwallace.com,,,"bourbon, rye",,,-105.10464,40.16555,https://whiskey-map.com/distillery/abbott-wallace-distilling/394
Achill Island,,,"Connacht, Ireland",2015,IrishAmerican Trading Company,operational,www.irishamericanwhiskeys.com/our-distillery.html,Yes,,"blended, irish",,,-9.98269,53.97062,https://whiskey-map.com/distillery/achill-island/401
Adams,https://www.instagram.com/adamsdistillery,,"Tasmania, Australia",2015,,operational,www.adamsdistillery.com.au,No,,single malt,,,147.16725,-41.58526,https://whiskey-map.com/distillery/adams/404
Adirondack Distilling Co.,https://www.instagram.com/adirondack_distilling,,"New York, United States",-,,operational,-,No,,bourbon,,,-75.24129,43.10423,https://whiskey-map.com/distillery/adirondack-distilling-co/407
Agárdi,https://www.instagram.com/agardi.hu,,"Fejér, Hungary",2002,,operational,agardi.hu,Yes,,"single malt, rye",,,18.61922,47.18733,https://whiskey-map.com/distillery/agardi/411
Agitator,https://www.instagram.com/agitator.whisky,,"Västmanlands, Sweden",-,,operational,agitatorwhisky.se,No,,"blended, single malt",,,15.89546,59.39496,https://whiskey-map.com/distillery/agitator/413
Ahascragh,https://www.instagram.com/ahascraghspirits,,"Connacht, Ireland",2018,Gareth & Michelle McAllister,operational,ahascraghdistillery.com,Yes,,irish,,,-8.33547,53.39685,https://whiskey-map.com/distillery/ahascragh/414
Aichinger,https://www.instagram.com/weingutaichinger,,"Upper Austria, Austria",1997,,operational,www.weinblick.at,Yes,,"blended, single grain",,,13.97202,48.37464,https://whiskey-map.com/distillery/aichinger/415
Aioi Unibio,https://www.instagram.com/aioi_unibio_official,,"Chubu, Japan",1949,,operational,unibio.jp,No,,blended,,,137.03882,34.87418,https://whiskey-map.com/distillery/aioi-unibio/417
Akkeshi,https://www.instagram.com/hokkaido_akkeshi_distillery,,"Hokkaido, Japan",2013,"Kenten Co., Ltd.",operational,www.akkeshi-distillery.com,No,300000 l.,"blended, single malt",,,144.82064,43.07579,https://whiskey-map.com/distillery/akkeshi/418
Albany Distilling,https://www.instagram.com/albanydistillingco,,,,,operational,www.albanydistilling.com,Yes,,"single malt, bourbon, rye","barley, rye, corn, wheat",,-73.74788,42.65421,https://whiskey-map.com/distillery/albany-distilling/420
Albyn,,,"Campbeltown, United Kingdom",1830,William McKersie,demolished,-,No,,single malt,,,-5.61134,55.42843,https://whiskey-map.com/distillery/albyn/422
Alchemy,https://www.instagram.com/alchemydistillery,,"California, United States",2010,,operational,alchemydistillery.com,Yes,,"bourbon, rye",,,-124.0893,40.85882,https://whiskey-map.com/distillery/alchemy/423
Alde Gott,,,"Baden-Württemberg, Germany",-,,operational,www.aldegott.de,Yes,,"single malt, single grain",,,8.12171,48.62023,https://whiskey-map.com/distillery/alde-gott/424
Alley 6 Craft,https://www.instagram.com/alley6craftdistillery,,"California, United States",2012,,operational,www.alley6.com,Yes,,"single malt, rye",,,-122.87588,38.6281,https://whiskey-map.com/distillery/alley-6-craft/428
Allgäu,https://www.instagram.com/allgaeubrennerei,,"Bavaria, Germany",1914,-,operational,www.allgaeu-brennerei.de,Yes,,"single malt, single grain",,,10.32672,47.68022,https://whiskey-map.com/distillery/allgau/429
Alpenwhisky,,,"Vorarlberg, Austria",2008,Peter Summer,operational,www.alpenwhisky.com,No,,single malt,,,9.63751,47.20904,https://whiskey-map.com/distillery/alpenwhisky/433
Alpirsbacher Klosterbräu,https://www.instagram.com/akb.1880,,"Baden-Württemberg, Germany",-,Glauner GmbH & Co. KG,operational,alpirsbacher.de/,Yes,,single malt,,,8.40305,48.34562,https://whiskey-map.com/distillery/alpirsbacher-klosterbrau/434
Alt Enderle,https://www.instagram.com/altenderle,,"Baden-Württemberg, Germany",1991,,operational,www.altenderle.de,No,,single malt,,,9.45359,49.4863,https://whiskey-map.com/distillery/alt-enderle/435
Altenburger,,,"Thuringia, Germany",1948,,operational,www.destillerie.de,Yes,,"blended, single malt",,,12.42495,50.9829,https://whiskey-map.com/distillery/altenburger/438
Amador / Dry Diggings,https://www.instagram.com/drydiggingsdistillery,,"California, United States",2008,Cris Steller,operational,www.drydiggings.com,Yes,,"single malt, bourbon, rye",,,-121.0594,38.62263,https://whiskey-map.com/distillery/amador-dry-diggings/440
Ambachtelijke Destilleerderij Nes,https://www.instagram.com/destilleerderij_nes,,"Frisia, Netherlands",2013,,operational,destilleerderijnes.nl/,No,,moonshine,,,5.77108,53.44674,https://whiskey-map.com/distillery/ambachtelijke-destilleerderij-nes/441
American Freedom Distillery,https://www.instagram.com/horsesoldierbourbon,,"Florida, United States",2015~,,operational,www.americanfreedomdistillery.com,Yes,,bourbon,,,-82.66414,27.76639,https://whiskey-map.com/distillery/american-freedom-distillery/444
Anchor Distilling Company,,,"California, United States",1993,,operational,www.anchordistilling.com,No,,"single malt, bourbon, rye",,,-122.40123,37.76342,https://whiskey-map.com/distillery/anchor-distilling-company/447
Anchorage,https://www.instagram.com/anchoragedistillery,,"Alaska, United States",2007,-,operational,www.anchoragedistillery.com,Yes,,"bourbon, rye, moonshine","rye, wheat",,-149.882,61.16362,https://whiskey-map.com/distillery/anchorage/448
Ann Arbor,https://www.instagram.com/a2distilling,,"Michigan, United States",2014,,operational,www.annarbordistilling.com,Yes,,"blended, bourbon, rye",,,-83.75019,42.28645,https://whiskey-map.com/distillery/ann-arbor/451
Arbutus,https://www.instagram.com/arbutusdistillery,,"British Columbia, Canada",-,,operational,arbutusdistillery.com,Yes,,"rye, canadian",,,-123.98531,49.18355,https://whiskey-map.com/distillery/arbutus/459
Archie Rose Distilling Co.,https://www.instagram.com/archierosesyd,,"New South Wales, Australia",2014,,operational,archierose.com.au,Yes,,"single malt, rye",,,151.20263,-33.91709,https://whiskey-map.com/distillery/archie-rose-distilling-co/461
Ardara Distillery,https://www.instagram.com/sliabhliagdistillers,,"Ulster, Ireland",-,,operational,www.sliabhliagdistillers.com/tour-ardara-distillery,Yes,,irish,barley,,-8.40789,54.76156,https://whiskey-map.com/distillery/ardara-distillery/465
Ardenistile,,,"Islay, United Kingdom",1837,,closed,-,No,,single malt,,,-6.15218,55.62989,https://whiskey-map.com/distillery/ardenistile/467
Ardgowan,https://www.instagram.com/ardgowandistillery,,"Lowlands, United Kingdom",-,,unknown,www.ardgowandistillery.com/,No,,"blended, single malt",barley,,-4.85369,55.92,https://whiskey-map.com/distillery/ardgowan/468
Ardlussa,,,"Campbeltown, United Kingdom",1879,,demolished,-,No,,single malt,,,-5.61163,55.42606,https://whiskey-map.com/distillery/ardlussa/469
Arizona Distilling Co.,https://www.instagram.com/azdistilling,,"Arizona, United States",2012,,operational,www.azdistilling.com,Yes,,"bourbon, rye",,,-111.94746,33.42156,https://whiskey-map.com/distillery/arizona-distilling-co/476
Armagnac Veuve Goudoulin,https://www.instagram.com/armagnac_goudoulin32,,"Occitania, France",-,,operational,www.armagnac-goudoulin.com,Yes,,single malt,,,0.25112,43.84173,https://whiskey-map.com/distillery/armagnac-veuve-goudoulin/478
Arrowood Farms,https://www.instagram.com/arrowoodfarms,,"New York, United States",2020,-,operational,arrowoodfarms.com,Yes,,"bourbon, rye","barley, rye, corn",,-74.24685,41.80426,https://whiskey-map.com/distillery/arrowood-farms/481
Asaka,,,"Tohoku, Japan",2016,Sasanokawa Shuzo Company,operational,-,No,,single malt,,,140.37238,37.36193,https://whiskey-map.com/distillery/asaka/483
ASW,https://www.instagram.com/aswdistillery,,"Georgia, United States",2018,Jim Chasteen & Charlie Thompson,operational,www.aswdistillery.com,Yes,,"single malt, bourbon, rye",,,-84.38215,33.80938,https://whiskey-map.com/distillery/asw/488
Atlungstad,https://www.instagram.com/atlungstad_spirits,,"Innlandet, Norway",1855,,operational,www.atlungstad.com,Yes,,blended,,,11.08069,60.76702,https://whiskey-map.com/distillery/atlungstad/489
Auchnagie,,,"Highlands, United Kingdom",1812,,closed,-,No,,blended,,,-3.63298,56.6538,https://whiskey-map.com/distillery/auchnagie/491
Avadis,,,"Rhineland-Palatinate, Germany",-,Andreas Vallander,operational,www.avbrennerei.de/,No,,single malt,,,6.45188,49.59783,https://whiskey-map.com/distillery/avadis/498
Axe and the Oak,https://www.instagram.com/axeandtheoakdistillery,,"Colorado, United States",2013,Casey Ross and Jason Jackson,operational,www.axeandtheoakdistillery.com,Yes,,"bourbon, rye, moonshine",,,-104.74167,38.83746,https://whiskey-map.com/distillery/axe-and-the-oak/499
bachgau-Destille,,,"Hesse, Germany",-,Alexander Hotz,operational,bachgau-destille.de,Yes,,single malt,,,9.01841,49.88874,https://whiskey-map.com/distillery/bachgau-destille/501
Backwoods Distilling Co.,https://www.instagram.com/backwoodsdistillingco,,"Victoria, Australia",2017,,operational,www.backwoodsdistilling.com.au,Yes,,"single malt, rye",,,146.84422,-36.30893,https://whiskey-map.com/distillery/backwoods-distilling-co/504
Bad Dog,,,"Washington, United States",2012,,operational,www.baddogdistillery.com,Yes,,"bourbon, rye, moonshine","rye, corn",,-122.14559,48.16889,https://whiskey-map.com/distillery/bad-dog/505
Bad Kötztinger Bärwurz-Quelle,https://www.instagram.com/brdmk,,"Bavaria, Germany",1970,Johannes Anleitner,operational,brdmk.de,No,,single malt,,,12.87126,49.16881,https://whiskey-map.com/distillery/bad-kotztinger-barwurz-quelle/506
Badachro,https://www.instagram.com/badachrodistillery,,"Highlands, United Kingdom",-,Gordon & Vanessa Quinn,operational,www.badachrodistillery.com,Yes,,single malt,,,-5.73377,57.69946,https://whiskey-map.com/distillery/badachro/507
Badmils Black,,,"Tyrol, Austria",2005,,operational,www.badmilsblack-whisky-distillery.at,No,,"single malt, bourbon",,,11.53453,47.29176,https://whiskey-map.com/distillery/badmils-black/508
Bainbridge,,,"Washington, United States",2009,,operational,www.bainbridgedistillers.com,No,,"single malt, single grain",,,-122.52492,47.64813,https://whiskey-map.com/distillery/bainbridge/509
Baker Williams,https://www.instagram.com/bakerwilliamsdistillery,,"New South Wales, Australia",2011,,operational,bakerwilliams.com.au,Yes,,single malt,,,149.60476,-32.56221,https://whiskey-map.com/distillery/baker-williams/510
Balcones Distilling,https://www.instagram.com/balconesdistilling,,"Texas, United States",2008,,operational,balconesdistilling.com,Yes,,"single malt, bourbon, rye",,,-97.13561,31.55036,https://whiskey-map.com/distillery/balcones-distilling/513
Ballykeefe,https://www.instagram.com/ballykeefedistillery,,"Leinster, Ireland",2016,Morgan Ging,operational,www.ballykeefedistillery.ie,Not at the moment,,irish,,,-7.37641,52.60188,https://whiskey-map.com/distillery/ballykeefe/517
Baltimore Spirits Company,https://www.instagram.com/baltspiritsco,,"Maryland, United States",2015,,operational,baltimorespiritsco.com,Yes,,rye,,,-76.64444,39.33594,https://whiskey-map.com/distillery/baltimore-spirits-company/519
Bandon,,,"Munster, Ireland",1826,,startup,bandondistillery.com,No,,irish,,,-8.71972,51.74681,https://whiskey-map.com/distillery/bandon/521
Baoilleach,https://www.instagram.com/thebaoilleachdistillery,,"Ulster, Ireland",2022,Baoilleach Teoranta,startup,www.baoilleachdistillery.ie,No,,irish,,,-7.79323,55.1776,https://whiskey-map.com/distillery/baoilleach/524
Barnstormer,https://www.instagram.com/barnstormerdistillery,,"Illinois, United States",-,-,operational,barnstormerdistillery.com,Yes,,"bourbon, rye","rye, corn",,-89.13667,42.19289,https://whiskey-map.com/distillery/barnstormer/527
Baronie Distillers,,,"Noord-Brabant, Netherlands",-,Roene de Koning,operational,-,No,,single malt,,,4.84903,51.51479,https://whiskey-map.com/distillery/baronie-distillers/528
Barton 1792,,,"Kentucky, United States",1879,Sazerac Company,operational,www.1792bourbon.com,No,,"blended, bourbon, rye","rye, corn",,-85.47746,37.80528,https://whiskey-map.com/distillery/barton-1792/530
Batch,https://www.instagram.com/batchdistillery,,"North West, United Kingdom",2012,,operational,batchdistillery.co.uk,No,,,,,-2.26495,53.77868,https://whiskey-map.com/distillery/batch/534
Bear Wallow,https://www.instagram.com/bearwallowdistillery,,"Indiana, United States",2013,Susan Spagnuolo,operational,www.bearwallowdistillery.com,Yes,,"bourbon, rye, moonshine","barley, rye, corn, wheat",,-86.16623,39.18864,https://whiskey-map.com/distillery/bear-wallow/541
Békési Manufaktúra,https://www.instagram.com/bekesipalinka_official,,"Békés County, Hungary",-,,operational,www.bekesipalinka.hu/,No,,single malt,,,21.12889,46.77114,https://whiskey-map.com/distillery/bekesi-manufaktura/543
Bellerhof,,,"Baden-Württemberg, Germany",1925,-,operational,dannes.de/brennerei,No,,"single malt, single grain",barley,,9.42689,48.57712,https://whiskey-map.com/distillery/bellerhof/547
Belmont Farm,https://www.instagram.com/belmontfarmdistillery,,"Virginia, United States",1988,,operational,www.belmontfarmdistillery.com,Yes,,"bourbon, moonshine",,,-77.99709,38.37361,https://whiskey-map.com/distillery/belmont-farm/549
Benachie,,,"Highlands, United Kingdom",1822,William Smith,demolished,-,No,,single malt,,,-2.61482,57.38647,https://whiskey-map.com/distillery/benachie/554
Bendt Distilling,https://www.instagram.com/bendtdistillingco,,"Texas, United States",2011,-,operational,www.bendtdistillingco.com,Yes,,"blended, bourbon, rye","barley, rye, corn, wheat",,-96.99707,33.04461,https://whiskey-map.com/distillery/bendt-distilling/556
Berentsens,https://www.instagram.com/berentsens,,"Rogaland, Norway",1895,Berentsens Brygghus AS,operational,www.berentsens.no,No,50000 l.,single malt,,,6.00395,58.45813,https://whiskey-map.com/distillery/berentsens/562
Bergslagens,https://www.instagram.com/bergslagensdestilleri,,"Örebro, Sweden",2014,Mats Lihnell,operational,bergslagensdestilleri.se,No,,single malt,barley,,15.26376,59.26223,https://whiskey-map.com/distillery/bergslagens/563
Berkshire Mountain Distillers,https://www.instagram.com/BerkshireMtDist,,"Massachusetts, United States",2007,Chris Weld,operational,berkshiremountaindistillers.com,No,,bourbon,corn,,-73.35289,42.09712,https://whiskey-map.com/distillery/berkshire-mountain-distillers/565
Mommeriete,,,"Overijssel, Netherlands",2004,-,operational,mommeriete.nl,Yes,,,,,6.67823,52.61138,https://whiskey-map.com/distillery/mommeriete/569
Bimmerle,,,"Baden-Württemberg, Germany",1966,,operational,www.bimmerle.de,No,,"blended, single malt",,,8.07009,48.64718,https://whiskey-map.com/distillery/bimmerle/577
Piekfeine Brände,https://www.instagram.com/piekfeinebraende,,"Bremen, Germany",2011,Brigitta Rust & Dietrich Schulze van Loon,operational,piekfeinebraende.de,Yes,,single malt,,,8.77902,53.08581,https://whiskey-map.com/distillery/piekfeine-brande/580
Birkenhof,,,"Rhineland-Palatinate, Germany",2002,Stefanie & Peter Klöckner,operational,www.birkenhof-brennerei.de,Yes,,"single malt, rye",,,7.90039,50.63587,https://whiskey-map.com/distillery/birkenhof/581
Bishop's Water,,,"Leinster, Ireland",1827,,demolished,en.wikipedia.org/wiki/Bishop%27s_Water_Distillery,No,,irish,,Bishop's Water Stream,-6.46509,52.33061,https://whiskey-map.com/distillery/bishops-water/583
Black Bear,,,"Colorado, United States",2013,Matthews family,operational,www.blackbeardistillery.com,No,,bourbon,barley,,-105.01286,38.93258,https://whiskey-map.com/distillery/black-bear/585
Black Bridge,,,"East of England, United Kingdom",2017,Ashley McCallum & Stacey Lindley & Luke Griggs,operational,blackbridgedistillery.co.uk,No,,moonshine,,,-0.40322,51.84704,https://whiskey-map.com/distillery/black-bridge/586
Black Button Distilling,https://www.instagram.com/blackbuttondistilling,,"New York, United States",2012,,operational,blackbuttondistilling.com,Yes,,bourbon,,,-77.58692,43.16333,https://whiskey-map.com/distillery/black-button-distilling/587
Black Dirt,https://www.instagram.com/blackdirtdistillery,,"New York, United States",2012,-,operational,blackdirtdistillery.com,Yes,,"bourbon, rye","barley, rye, corn",,-74.43784,41.29349,https://whiskey-map.com/distillery/black-dirt/589
Black Velvet,https://www.instagram.com/blackvelvetwhisky,,,,,operational,www.blackvelvetwhisky.com,No,,"blended, canadian","barley, rye, corn",,-112.79561,49.71294,https://whiskey-map.com/distillery/black-velvet/595
Blackfish Spirits,https://www.instagram.com/BlackfishSpirit,,"Washington, United States",2013,,operational,www.blackfishdistillery.com,Yes,,bourbon,,,-122.23587,47.33987,https://whiskey-map.com/distillery/blackfish-spirits/597
Blacks Brewery & Distillery,https://www.instagram.com/blacksbrewery,,"Munster, Ireland",2013,Sam & Maudeline Black,operational,www.blacksbrewery.com,No,,"irish, moonshine",,,-8.52742,51.72549,https://whiskey-map.com/distillery/blacks-brewery-distillery/600
Blackwater,https://www.instagram.com/blackwaterdistillery,,"Munster, Ireland",-,-,operational,blackwaterdistillery.ie,No,,"single malt, irish, rye, moonshine","barley, rye",,-8.05306,52.14761,https://whiskey-map.com/distillery/blackwater/602
Boann,https://www.instagram.com/boanndistillery,,"Leinster, Ireland",2016,Cooney Family,operational,boanndistillery.ie,No,,irish,,,-6.36796,53.6948,https://whiskey-map.com/distillery/boann/616
Boplaas,,,"Western Cape, South Africa",1989,,operational,www.boplaas.co.za,No,,"single malt, single grain",,,21.68372,-33.53565,https://whiskey-map.com/distillery/boplaas/629
Bosch-Edelbrand,https://www.instagram.com/bosch.edelbrand,,"Baden-Württemberg, Germany",1948,Andreas Bosch,operational,bosch-edelbrand.de,Yes,,"single malt, single grain",,,9.46336,48.56166,https://whiskey-map.com/distillery/bosch-edelbrand/630
Bossche Stokers V.O.F.,,,"Noord-Brabant, Netherlands",2017,,operational,www.bosschestokers.nl,Yes,,single malt,,,5.29989,51.69628,https://whiskey-map.com/distillery/bossche-stokers-vof/631
Boston Harbor,https://www.instagram.com/bostonharbordistil,,"Massachusetts, United States",2012,,operational,bostonharbordistillery.com,Yes,,"single malt, bourbon, rye","barley, rye",Quabbin Reservoir,-71.04081,42.29211,https://whiskey-map.com/distillery/boston-harbor/632
Bow Street (John Jameson),,,"Leinster, Ireland",1780,,closed,-,Yes,,irish,,,-6.27624,53.34875,https://whiskey-map.com/distillery/bow-street-john-jameson/636
Bows,https://www.instagram.com/bowsdistillerie,,"Occitania, France",2016,,operational,www.bowsdistillerie.com,No,,"blended, pure malt","barley, rye",,2.48847,43.25709,https://whiskey-map.com/distillery/bows/638
Braeckman,https://www.instagram.com/braeckmandistillery,,"East Flanders, Belgium",1918,,operational,www.braeckman.eu/,Yes,,single malt,,,3.59351,50.82935,https://whiskey-map.com/distillery/braeckman/641
Uberach,,,"Grand Est, France",1999,,operational,www.brasserie-uberach.fr,Yes,,single malt,,,7.64024,48.85052,https://whiskey-map.com/distillery/uberach/648
